date,symbol,signal,raw_score,price,contracts,notional_usd,weight_pct,basket,return_pct,weighted_return_pct
2025-09-18,@TY#C,1,0.000980106182396412,112.828125,35,3948984.375,7.89796875,RATESUS,-0.013848497438027975,-0.00109375
2025-09-18,@US#C,1,0.0012602659408003092,116.5,34,3961000.0,7.922,RATESUS,-0.1072961373390558,-0.0085
2025-09-18,@W#C,1,-0.0006529268575832248,525.25,13,341412.5,0.682825,AGS,-0.809138505473584,-0.005525
2025-09-18,BD#C,1,0.00029140833066776395,128.45,30,3853499.9999999995,7.706999999999999,RATESEU,-0.19462826002335543,-0.015
2025-09-18,BL#C,1,0.0006251506274566054,117.83,33,3888390.0,7.77678,RATESEU,-0.10184163625562637,-0.0079200000000003
2025-09-18,QBZ#C,1,0.003914246801286936,67.65,17,1150050.0000000002,2.3001000000000005,Energy,-1.4781966001478195,-0.034
2025-09-18,QCL#C,1,0.0038118467200547457,63.49,18,1142820.0,2.28564,Energy,-1.6695542605134703,-0.03816000000000008
2025-09-18,QGC#C,1,0.0012964068446308374,3674.5,3,1102350.0,2.2047,METALS,0.759286977820114,0.01674000000000005
2025-09-18,QHG#C,-1,-0.002160230651497841,4.599,-10,1149750.0,2.2995,METALS,-0.619699934768432,-0.014250000000000094
2025-09-18,QNG#C,-1,-0.0036926292814314365,2.953,-10,295300.0,0.5906,Energy,2.4381984422621086,0.014400000000000013
2025-09-18,QPL#C,1,0.0005139929126016796,1396.2,17,1186770.0,2.37354,METALS,1.353674258702182,0.03212999999999978
2025-09-18,QRB#C,-1,0.0004931522416882217,2.0122,-13,1098661.2,2.1973224,Energy,1.9729649140244543,0.043352400000000076
2025-09-18,QSI#C,1,0.0016979785868898034,42.01,5,1050250.0,2.1005,METALS,2.297072125684369,0.048250000000000175
2025-09-19,@AD#C,-1,-0.0021577938459813595,0.66025,-18,1188450.0,2.3769,FX,0.03786444528587239,0.0008999999999999008
2025-09-19,@BO#C,1,-4.558174259727821e-05,50.77,11,335082.0,0.670164,AGS,-3.2499507583218548,-0.021780000000000074
2025-09-19,@BP#C,1,0.00033759960206225514,1.3484,14,1179850.0,2.3597,FX,0.20023731830316854,0.004724999999999868
2025-09-19,@C#C,1,0.005512414034456015,423.5,16,338800.0,0.6776,AGS,-0.7083825265643447,-0.0048
2025-09-19,@CT#C,-1,-0.0042749191634356976,66.39,-10,331950.0,0.6639,AGS,0.4217502635939165,0.0028000000000000117
2025-09-19,@ES#C,-1,-0.0003280679229646921,6700.0,-9,3015000.0,6.03,EQUITY,-0.7201492537313433,-0.043425
2025-09-19,@EU#C,-1,-7.160495442803949e-05,1.18095,-8,1180950.0,2.3619000000000003,FX,-0.3048393242728353,-0.007200000000000098
2025-09-19,@FV#C,-1,-0.0002948972105514258,109.4453125,-36,3940031.25,7.8800625,RATESUS,0.02855307302448426,0.00225
2025-09-19,@JY#C,1,0.0008437950164079666,0.0068215,14,1193762.5,2.387525,FX,0.05130836326321236,0.0012250000000000108
2025-09-19,@KW#C,1,0.006625215522944927,506.25,0,0.0,0.0,AGS,-1.2839506172839505,-0.0
2025-09-19,@NQ#C,1,0.000412776687880978,24771.25,6,2972550.0,5.9451,EQUITY,0.8699601352374224,0.05172
2025-09-19,@RTY#C,-1,-0.0013272741343826056,2471.9,-26,3213470.0,6.42694,EQUITY,-0.0445001820461956,-0.0028599999999997638
2025-09-19,@S#C,1,0.0019414701964706182,1027.75,6,308325.0,0.61665,AGS,-2.0189734857698856,-0.01245
2025-09-19,@SM#C,-1,-0.0005259286845102906,283.7,-12,340439.99999999994,0.6808799999999998,AGS,1.8329221008107115,0.01247999999999997
2025-09-19,@TY#C,1,-0.00017323700012639165,112.765625,35,3946796.875,7.89359375,RATESUS,0.0,0.0
2025-09-19,@US#C,-1,-0.0013456421438604593,116.28125,-34,3953562.5,7.907125,RATESUS,-0.053748992206396125,-0.0042499999999999994
2025-09-19,@W#C,1,0.0019999512005597353,521.25,13,338812.5,0.677625,AGS,-2.4940047961630696,-0.016900000000000002
2025-09-19,BD#C,-1,-0.0010860450565814972,128.23,-30,3846899.9999999995,7.6937999999999995,RATESEU,-0.023395461280512467,-0.001800000000000068
2025-09-19,BL#C,-1,-0.0001045468743541278,117.72,-33,3884759.9999999995,7.769519999999999,RATESEU,-0.008494733265379813,-0.0006600000000003375
2025-09-19,QBZ#C,1,0.007298126816749573,66.69,17,1133730.0,2.26746,Energy,-1.6944069575648455,-0.03841999999999984
2025-09-19,QCL#C,1,0.003197167068719864,62.49,18,1124820.0,2.24964,Energy,-0.544087053928634,-0.012240000000000122
2025-09-19,QGC#C,-1,-0.003952735103666782,3704.2,-3,1111259.9999999998,2.22252,METALS,-1.80605798822958,-0.04014000000000006
2025-09-19,QHG#C,1,0.0025032577104866505,4.6225,10,1155624.9999999998,2.3112499999999994,METALS,0.2487831260140775,0.005750000000000365
2025-09-19,QNG#C,1,0.005299975164234638,2.897,10,289700.0,0.5793999999999999,Energy,7.179841215050059,0.04160000000000003
2025-09-19,QPL#C,-1,-0.0011573904193937778,1415.4,-17,1203090.0000000002,2.4061800000000004,METALS,-2.2961706937968063,-0.05525000000000001
2025-09-19,QRB#C,-1,-0.019882243126630783,1.9764,-13,1079114.4,2.1582288,Energy,2.479255211495645,0.053507999999999924
2025-09-19,QSI#C,-1,-0.004049185197800398,43.035,-5,1075875.0,2.15175,METALS,-2.707098873010355,-0.05825000000000031
2025-09-22,@AD#C,1,0.0027890820056200027,0.65965,18,1187370.0,2.3747399999999996,FX,0.20465398317290584,0.004860000000000263
2025-09-22,@BO#C,-1,-0.03682943433523178,49.7,-11,328020.0,0.65604,AGS,0.16096579476862252,0.001056000000000071
2025-09-22,@BP#C,-1,-0.000586007721722126,1.3504,-14,1181600.0,2.3632,FX,-0.13329383886256102,-0.003150000000000042
2025-09-22,@C#C,-1,-0.006216692738234997,418.75,-17,355937.5,0.711875,AGS,-1.7313432835820894,-0.012325
2025-09-22,@CT#C,1,0.007316419389098883,66.24,10,331200.0,0.6624,AGS,0.5736714975845557,0.0038000000000000967
2025-09-22,@ES#C,-1,-9.127294470090419e-05,6729.75,-9,3028387.5,6.056775,EQUITY,-0.06315242022363386,-0.0038250000000000003
2025-09-22,@EU#C,-1,-0.0004779320734087378,1.18295,-8,1182950.0,2.3659,FX,-0.27051016526481186,-0.006400000000000183
2025-09-22,@FV#C,-1,-0.0003515645512379706,109.3828125,-36,3937781.25,7.875562499999999,RATESUS,-0.007142346975216056,-0.0005625
2025-09-22,@JY#C,1,6.115156429586932e-05,0.006821,14,1193675.0,2.38735,FX,0.04398182084738892,0.0010500000000001396
2025-09-22,@KW#C,-1,-0.004045659676194191,503.25,0,0.0,0.0,AGS,-1.987083954297069,-0.0
2025-09-22,@NQ#C,-1,-0.00200228882022202,24911.25,-6,2989350.0,5.9787,EQUITY,-0.07024938531787847,-0.0042
